"reg_date","gender","age","withdraw_date","user_reg_pref_name","user_id"
2011-06-26,1,39,NA,"tokyo","u11296"
2011-09-14,1,32,2012-03-31 10:34:49,NA,"u14950"
2011-03-08,0,38,NA,"aichi","u15468"
2011-01-26,0,45,NA,"tokyo","u2983"
2011-07-03,0,43,NA,NA,"u14345"
2010-09-18,0,48,NA,"osaka","u21278"
2012-05-04,0,52,NA,"fukuoka","u5766"
2011-06-11,1,72,NA,NA,"u15097"
2010-11-27,1,41,NA,"kanagawa","u7006"
2012-02-07,0,40,NA,NA,"u20866"
2012-03-02,1,39,NA,"saitama","u19683"
2010-09-03,0,33,NA,"tokyo","u7894"
2011-09-11,0,45,NA,"osaka","u11216"
2011-06-05,0,57,NA,"aichi","u12054"
2012-04-17,1,27,NA,"aichi","u4564"
2011-06-22,1,28,NA,NA,"u10789"
2011-11-12,0,53,NA,"nara","u8057"
2011-02-20,1,78,NA,"okayama","u9481"
2011-04-23,1,39,NA,"aichi","u729"
2011-11-07,0,42,NA,NA,"u7450"
2011-11-15,0,62,NA,NA,"u12675"
2011-06-13,1,34,NA,"tokyo","u1007"
2011-02-03,0,48,NA,"chiba","u9424"
2011-08-14,1,63,NA,NA,"u14409"
2011-07-02,1,31,2011-09-05 02:09:53,"aichi","u5242"
2012-01-06,0,42,NA,"ishikawa","u13868"
2012-01-22,0,44,NA,NA,"u22761"
2012-06-17,1,30,NA,"yamanashi","u7795"
2011-05-17,1,40,2012-01-30 13:40:22,"hokkaido","u244"
2010-11-11,1,53,NA,"osaka","u4525"
2010-12-23,0,57,NA,"kanagawa","u14092"
2011-07-19,0,41,NA,NA,"u16659"
2011-06-12,0,44,NA,"aichi","u4751"
2010-11-17,0,37,NA,"yamaguchi","u1662"
2012-01-31,0,39,NA,NA,"u17168"
2011-06-08,0,51,NA,"saitama","u1833"
2012-02-28,0,49,NA,"tokyo","u3482"
2010-11-12,0,46,NA,NA,"u13237"
2010-11-14,0,49,NA,"osaka","u18010"
2012-06-29,1,27,NA,NA,"u13300"
2012-05-11,0,31,NA,NA,"u6546"
2010-11-16,0,30,NA,"tokyo","u21885"
2011-08-12,0,34,NA,NA,"u6872"
2011-02-15,1,50,NA,NA,"u773"
2012-01-20,1,43,NA,"osaka","u16845"
2011-02-25,0,39,NA,"yamanashi","u8188"
2012-02-26,0,44,NA,"kanagawa","u21061"
2010-11-09,0,28,NA,"shizuoka","u18688"
2010-12-10,1,39,NA,"chiba","u21095"
2011-08-20,0,53,NA,NA,"u12020"
2011-06-27,0,35,NA,NA,"u16599"
2011-03-31,1,39,NA,"osaka","u19354"
2010-11-07,1,70,NA,"kanagawa","u4931"
2011-10-27,0,46,NA,NA,"u12849"
2011-07-19,0,37,2011-08-09 23:36:39,NA,"u1678"
2011-07-19,1,32,NA,NA,"u13491"
2011-11-12,1,53,NA,"ehime","u12571"
2011-06-02,0,39,NA,NA,"u12135"
2010-12-12,1,52,NA,"tokyo","u11265"
2012-03-27,1,42,NA,"tokyo","u16590"
2011-10-27,1,32,NA,"osaka","u21877"
2012-02-20,1,36,NA,NA,"u20632"
2011-01-17,1,54,NA,"saitama","u19633"
2011-05-13,1,36,NA,"shimane","u5970"
2010-09-18,1,33,NA,"tokyo","u14160"
2011-05-07,0,47,NA,"tokyo","u7706"
2010-10-30,0,27,NA,NA,"u6906"
2012-03-12,1,37,NA,"kyoto","u21597"
2011-08-19,1,56,NA,"tokyo","u16896"
2012-02-06,1,26,NA,NA,"u4575"
2012-04-04,0,32,NA,NA,"u5484"
2011-08-29,1,55,NA,"aichi","u9225"
2011-02-20,0,32,NA,"miyagi","u16750"
2011-12-05,1,36,NA,"kanagawa","u390"
2011-12-14,1,63,NA,NA,"u2177"
2011-02-23,1,34,2011-11-26 15:32:28,"osaka","u19997"
2011-08-26,0,65,NA,"shizuoka","u1444"
2011-07-17,1,41,NA,NA,"u20839"
2011-02-13,1,52,NA,"wakayama","u21042"
2010-12-13,1,47,NA,"kanagawa","u20503"
2010-11-03,1,46,NA,"tokyo","u13308"
2011-06-23,0,29,NA,NA,"u12134"
2011-02-15,1,49,NA,"gunma","u8655"
2011-02-02,0,45,NA,"fukuoka","u12080"
2011-03-06,1,77,NA,"ibaraki","u5424"
2011-08-16,0,25,NA,"tokyo","u18554"
2011-11-09,0,22,NA,NA,"u94"
2011-09-03,1,41,NA,NA,"u16021"
2011-03-12,0,33,NA,NA,"u18511"
2011-06-26,0,25,NA,"tokyo","u13040"
2011-08-25,0,23,NA,NA,"u20391"
2011-07-17,1,50,2011-09-28 22:24:43,"hiroshima","u5345"
2012-04-03,1,37,NA,"niigata","u12155"
2012-05-20,0,48,NA,"tokyo","u19363"
2011-02-17,1,40,NA,"toyama","u8889"
2011-10-26,0,43,NA,NA,"u9877"
2011-05-09,1,29,NA,NA,"u22597"
2010-10-18,0,51,NA,"hyogo","u15523"
2011-01-23,1,53,NA,NA,"u16886"
2011-01-10,0,42,NA,"fukuoka","u7488"
2011-12-19,1,73,NA,NA,"u17823"
2011-12-15,0,40,NA,NA,"u10400"
2011-04-12,1,64,NA,NA,"u19414"
2012-06-16,1,38,NA,"osaka","u7414"
2010-11-16,1,60,NA,"aichi","u13286"
2011-07-18,0,47,NA,"shizuoka","u7590"
2012-01-03,1,34,NA,"ibaraki","u20217"
2011-08-15,1,33,NA,NA,"u879"
2012-01-20,0,23,NA,"saitama","u20860"
2010-09-19,1,40,NA,"osaka","u9816"
2010-11-21,0,39,NA,"saitama","u4711"
2010-11-09,0,32,NA,"kanagawa","u665"
2011-05-11,1,37,NA,"shizuoka","u12650"
2011-06-04,0,38,NA,NA,"u22659"
2010-11-09,0,33,NA,"tokyo","u9118"
2011-12-29,1,63,NA,"tokyo","u17098"
2011-12-14,1,33,NA,NA,"u2653"
2012-03-28,1,42,NA,"osaka","u18306"
2011-05-03,0,22,NA,NA,"u7378"
2011-02-06,0,26,NA,"okayama","u17622"
2011-02-14,1,68,NA,"tokyo","u16132"
2011-11-15,0,44,NA,"gunma","u18963"
2011-06-15,0,22,NA,"yamanashi","u3407"
2011-05-25,1,39,NA,"hiroshima","u4701"
2011-10-13,0,22,NA,NA,"u8932"
2011-08-15,0,29,NA,"miyagi","u3760"
2011-12-10,1,36,2012-02-02 10:43:06,NA,"u22504"
2011-02-25,0,50,NA,"toyama","u19347"
2011-09-22,0,60,NA,NA,"u20152"
2012-01-17,0,50,NA,NA,"u5783"
2011-09-23,0,50,NA,"kyoto","u8454"
2011-05-30,0,28,NA,"hokkaido","u13236"
2011-05-20,0,24,NA,NA,"u22491"
2011-09-12,0,43,NA,"osaka","u10483"
2012-02-04,1,33,NA,"osaka","u21419"
2011-10-09,0,42,NA,"nara","u16964"
2011-05-27,1,53,NA,"chiba","u7073"
2010-11-16,0,37,NA,"nara","u9006"
2011-05-01,0,47,NA,"saitama","u10436"
2011-06-13,0,29,NA,"miyagi","u3964"
2011-05-24,0,57,NA,"gifu","u1779"
2011-06-21,1,40,NA,"osaka","u1409"
2011-02-09,0,53,NA,"ehime","u17284"
2011-09-21,1,36,NA,NA,"u4554"
2011-05-17,1,29,NA,NA,"u8445"
2011-08-28,0,38,NA,"chiba","u6686"
2011-01-12,0,38,NA,"osaka","u11154"
2010-12-23,1,40,NA,"okayama","u21057"
2011-11-02,0,41,NA,NA,"u13536"
2011-05-29,1,54,NA,"chiba","u197"
2010-11-12,0,52,NA,"nagano","u6948"
2011-10-08,1,44,NA,"osaka","u19516"
2011-04-26,0,46,NA,"hyogo","u620"
2011-02-21,1,50,NA,"hyogo","u1141"
2010-11-04,0,50,NA,"miyagi","u11454"
2011-02-11,0,30,NA,"hyogo","u1504"
2012-01-24,1,40,NA,NA,"u12612"
2011-02-07,1,30,NA,NA,"u19838"
2011-07-27,1,47,NA,"tokyo","u2643"
2011-10-13,1,26,NA,"hyogo","u8547"
2011-09-10,0,36,NA,NA,"u1030"
2011-08-01,0,39,NA,NA,"u398"
2011-02-08,0,36,NA,NA,"u11514"
2012-02-27,0,31,NA,NA,"u16201"
2012-02-25,0,53,NA,NA,"u10587"
2011-12-23,1,42,NA,"gifu","u16787"
2010-11-11,0,35,2011-12-17 18:31:26,"tokyo","u17809"
2012-04-14,0,32,NA,NA,"u13163"
2010-10-25,1,37,NA,"osaka","u1838"
2011-11-07,1,38,NA,NA,"u18522"
2010-10-23,0,24,NA,NA,"u19546"
2010-09-25,0,42,NA,"kanagawa","u15513"
2011-07-18,1,27,NA,NA,"u8018"
2010-12-19,1,39,NA,"aichi","u2287"
2011-10-11,0,29,NA,NA,"u8444"
2011-05-16,0,45,NA,"nagano","u15161"
